,0,1,2,3,4
4,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
5,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
6,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
2,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
5,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
2,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
3,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
4,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
5,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
6,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
5,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
5,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
6,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
3,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
4,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
5,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
6,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
2,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
4,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
5,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
2,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
5,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
4,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
5,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
5,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
1,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
5,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
2,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
5,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
1,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
5,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
4,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
5,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
6,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
4,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
5,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
6,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
2,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
4,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
5,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
6,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
2,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
4,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
5,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
6,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
3,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
4,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
5,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
6,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
1,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
2,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
4,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
5,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
6,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
4,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
5,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
1,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-14-M-0479,400 000,lezárt,Nem
3,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
4,04 az Életért Alapítvány,NEA-UN-20-EG-0348,200 000,Nyertes,Nem
5,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
6,04 az Életért Alapítvány,NEA-UN-17-M-0317,700 000,Várólistás,Nem
7,04 az Életért Alapítvány - H1016485,NEAG-KP-1-2021/5-000310,300 000,nem támogatott,Nem
8, 1000 Odú Egyesület,NEA-KK-16-M-0459,3 000 000,Érvénytelen,Nem
9,1000 Odú Egyesület,NEA-TF-20-EG-0247,199 072,Nyertes,Nem
0,04 az Életért Alapítvány,NEA-UN-13-M-0308,470 000,lezárt,Nem
1,04 az Életért Alapítvány,NEA-UN-16-M-0523,650 000,Várólistás,Nem
2,04 az Életért Alapítvány,NEA-UN-18-M-0298,700 000,Várólistás,Nem
3,04 az Életért Alapítvány,NEA-UN-19-EG-0209,200 000,Nyertes,Nem
